answer,true_answer,mark
"Это методика программирования, основанная на построении иерархии среди классов для передачи общих методов и свойств от более общих элементов к более частным.","Наследование — это механизм объектно-ориентированного программирования, который позволяет классу-потомку получить атрибуты (поля, методы и свойства) класса-родителя. В классе-потомке можно переопределять методы родителя. Механизм наследования позволяет реализовывать полиморфизм и избегать дублирование кода",1
"Наследование - способность класса ""наследовать"" методы и свойства другого класса. К примеру, класс A наследуется классом B, и все методы и свойства объекта класса A доступны для объекта класса B. Их можно переопределить или оставить без изменений.","Наследование — это механизм объектно-ориентированного программирования, который позволяет классу-потомку получить атрибуты (поля, методы и свойства) класса-родителя. В классе-потомке можно переопределять методы родителя. Механизм наследования позволяет реализовывать полиморфизм и избегать дублирование кода",1
"Это один из основных принципов объектно-ориентированного программирования, позволящий избежать дублирования кода. Базовый класс может иметь один или несколько дочерних классов. Дочерние классы наследуют все неприватные методы и свойства родительского класса, что позволяет избежать их повторного написания и даёт возможность использовать их напрямую из объекта дочернего класса","Наследование — это механизм объектно-ориентированного программирования, который позволяет классу-потомку получить атрибуты (поля, методы и свойства) класса-родителя. В классе-потомке можно переопределять методы родителя. Механизм наследования позволяет реализовывать полиморфизм и избегать дублирование кода",1
"Наследование - это один из принципов объектно-ориентированного программирования, согласно которому можно создавать классы-наследники от класса-родителя, который будет использовать логику и методы класса-родителя с возможностью переопределения некоторой части логики класса-родителя. С помощью этого принципа можно выделять некоторую общность в группе классов, убрать дублирование кода и сделать структуру классов более понятной и читаемой.","Наследование — это механизм объектно-ориентированного программирования, который позволяет классу-потомку получить атрибуты (поля, методы и свойства) класса-родителя. В классе-потомке можно переопределять методы родителя. Механизм наследования позволяет реализовывать полиморфизм и избегать дублирование кода",1
Наследование - это сохранение свойств объекта-родителя объектом-ребенком,"Наследование — это механизм объектно-ориентированного программирования, который позволяет классу-потомку получить атрибуты (поля, методы и свойства) класса-родителя. В классе-потомке можно переопределять методы родителя. Механизм наследования позволяет реализовывать полиморфизм и избегать дублирование кода",1
"Наследование в ООП - это ситуация, при которой дочерний класс наследует поля и методы родительского класса.","Наследование — это механизм объектно-ориентированного программирования, который позволяет классу-потомку получить атрибуты (поля, методы и свойства) класса-родителя. В классе-потомке можно переопределять методы родителя. Механизм наследования позволяет реализовывать полиморфизм и избегать дублирование кода",1
"Это концепция в ООП, где объект может наследовать определенные функции от своего класса-родителя.","Наследование — это механизм объектно-ориентированного программирования, который позволяет классу-потомку получить атрибуты (поля, методы и свойства) класса-родителя. В классе-потомке можно переопределять методы родителя. Механизм наследования позволяет реализовывать полиморфизм и избегать дублирование кода",1
"Наследование это связь между сущностными от ""ребёнка"" к родителю. Обозначающимся стрелкой с прозрачным ромбиком. Тость сущность ребёнка не исчезнет, если убрать родителя.","Наследование — это механизм объектно-ориентированного программирования, который позволяет классу-потомку получить атрибуты (поля, методы и свойства) класса-родителя. В классе-потомке можно переопределять методы родителя. Механизм наследования позволяет реализовывать полиморфизм и избегать дублирование кода",1
"Наследование в объектно-ориентированном программировании - это передача функционала, включая методы и атрибуты, класса - родителя, классу - ребенка.","Наследование — это механизм объектно-ориентированного программирования, который позволяет классу-потомку получить атрибуты (поля, методы и свойства) класса-родителя. В классе-потомке можно переопределять методы родителя. Механизм наследования позволяет реализовывать полиморфизм и избегать дублирование кода",1
"Создание нового класса (наследника) на основе уже существующего (предка). Класс наследник имеет все поля и методы класса предка. Методы класса предка можно переопределить или добавить новые. Между предком и наследником можно выполнять восходящее и нисходящее преобразование. Это является одним из основных преимуществ наследования. С объектом класса наследника можно обращаться как с объектом класса предка, при этом будут вызываться переопределённые методы.","Наследование — это механизм объектно-ориентированного программирования, который позволяет классу-потомку получить атрибуты (поля, методы и свойства) класса-родителя. В классе-потомке можно переопределять методы родителя. Механизм наследования позволяет реализовывать полиморфизм и избегать дублирование кода",1
Передача свойств и качеств(свойств и методов) класса родителя классу ребенку,"Наследование — это механизм объектно-ориентированного программирования, который позволяет классу-потомку получить атрибуты (поля, методы и свойства) класса-родителя. В классе-потомке можно переопределять методы родителя. Механизм наследования позволяет реализовывать полиморфизм и избегать дублирование кода",1
"Изучение и анализ принципов и практик, которые лежат в основе программирования","Наследование — это механизм объектно-ориентированного программирования, который позволяет классу-потомку получить атрибуты (поля, методы и свойства) класса-родителя. В классе-потомке можно переопределять методы родителя. Механизм наследования позволяет реализовывать полиморфизм и избегать дублирование кода",0
Возможность использовать в каком-то классе методы из другого класса.,"Наследование — это механизм объектно-ориентированного программирования, который позволяет классу-потомку получить атрибуты (поля, методы и свойства) класса-родителя. В классе-потомке можно переопределять методы родителя. Механизм наследования позволяет реализовывать полиморфизм и избегать дублирование кода",0
"Это концепция, в основе которой лежит вынесение общих членов некоторых классов на более высокий уровень абстракции.","Наследование — это механизм объектно-ориентированного программирования, который позволяет классу-потомку получить атрибуты (поля, методы и свойства) класса-родителя. В классе-потомке можно переопределять методы родителя. Механизм наследования позволяет реализовывать полиморфизм и избегать дублирование кода",1
Наследование - это свойство объектов класса наследовать методы и свойства родительского класса,"Наследование — это механизм объектно-ориентированного программирования, который позволяет классу-потомку получить атрибуты (поля, методы и свойства) класса-родителя. В классе-потомке можно переопределять методы родителя. Механизм наследования позволяет реализовывать полиморфизм и избегать дублирование кода",1
"Наследование - механизм объектно-ориентированного программирования, позволяющий унаследовать поля и методы одного класса в другом.","Наследование — это механизм объектно-ориентированного программирования, который позволяет классу-потомку получить атрибуты (поля, методы и свойства) класса-родителя. В классе-потомке можно переопределять методы родителя. Механизм наследования позволяет реализовывать полиморфизм и избегать дублирование кода",1
"Наследование в OOП - это одно из фундаментальных свойств такого программирования. Оно заключается в следующем: У нас есть множество классов, у которых есть как общие признаки, так и индивидуальные(разные). Тогда, чтобы не прописывать для каждого класса повторяющиеся поля(признаки), можно создать один общий(родительский) класс и указать в нем те поля, которые будут у всех его дочерних классов. А у дочерних классов в явном виде указать импорт из родительского класса. Возможно, я слегка напутал, и наследование - это процесс, когда у всех ЭКЗЕМПЛЯРОВ класса есть общие поля.","Наследование — это механизм объектно-ориентированного программирования, который позволяет классу-потомку получить атрибуты (поля, методы и свойства) класса-родителя. В классе-потомке можно переопределять методы родителя. Механизм наследования позволяет реализовывать полиморфизм и избегать дублирование кода",1
Наследование в объектно-ориентированном программировании - это возможность обьявления нового класса на основании уже существующего с заимствования его логики работы,"Наследование — это механизм объектно-ориентированного программирования, который позволяет классу-потомку получить атрибуты (поля, методы и свойства) класса-родителя. В классе-потомке можно переопределять методы родителя. Механизм наследования позволяет реализовывать полиморфизм и избегать дублирование кода",1
"Наследование - концепция в объектно-ориентированном программировании, согласно которой одни классы программы могут наследовать свойства других, ""родительских"" классов, их свойства и поля.","Наследование — это механизм объектно-ориентированного программирования, который позволяет классу-потомку получить атрибуты (поля, методы и свойства) класса-родителя. В классе-потомке можно переопределять методы родителя. Механизм наследования позволяет реализовывать полиморфизм и избегать дублирование кода",1
"Наследование в ООП является одним из основных принципов, с помощью которого можно создавать иерархию классов. Использование наследования позволяет улучшить разработку и поддержку кода, благодаря тому что код становится оптимизированным, его удобнее читать, масштабировать.","Наследование — это механизм объектно-ориентированного программирования, который позволяет классу-потомку получить атрибуты (поля, методы и свойства) класса-родителя. В классе-потомке можно переопределять методы родителя. Механизм наследования позволяет реализовывать полиморфизм и избегать дублирование кода",0
"Это механизм, который позволяет одному классу получать свойства и методы другого класса, расширяя или изменяя их поведение","Наследование — это механизм объектно-ориентированного программирования, который позволяет классу-потомку получить атрибуты (поля, методы и свойства) класса-родителя. В классе-потомке можно переопределять методы родителя. Механизм наследования позволяет реализовывать полиморфизм и избегать дублирование кода",1
Наследование в ООП это свойство когда из класса родителя в класс наследник передаются некоторые его признаки.,"Наследование — это механизм объектно-ориентированного программирования, который позволяет классу-потомку получить атрибуты (поля, методы и свойства) класса-родителя. В классе-потомке можно переопределять методы родителя. Механизм наследования позволяет реализовывать полиморфизм и избегать дублирование кода",1
"Наследование в объектно-ориентированном программировании - это способность классов принимать и использовать набор данных друг от друга в одностороннем порядке, где набор данных - это поля(переменные), методы(функции), структуры, классы и т.д.","Наследование — это механизм объектно-ориентированного программирования, который позволяет классу-потомку получить атрибуты (поля, методы и свойства) класса-родителя. В классе-потомке можно переопределять методы родителя. Механизм наследования позволяет реализовывать полиморфизм и избегать дублирование кода",1
"Наследование в объектно-ориентированном программировании — это механизм, который позволяет создавать новый класс на основе существующего, наследуя его свойства и методы. Это способствует повторному использованию кода и упрощает его организацию","Наследование — это механизм объектно-ориентированного программирования, который позволяет классу-потомку получить атрибуты (поля, методы и свойства) класса-родителя. В классе-потомке можно переопределять методы родителя. Механизм наследования позволяет реализовывать полиморфизм и избегать дублирование кода",1
"Наследование в объектно-ориентированном программировании - это механизм создания новых классов на основе других, при котором поля и методы класса-отца переходят в класс-наследник. В новом классе можно создавать новые поля, методы, а также переопределять методы из класса-отца","Наследование — это механизм объектно-ориентированного программирования, который позволяет классу-потомку получить атрибуты (поля, методы и свойства) класса-родителя. В классе-потомке можно переопределять методы родителя. Механизм наследования позволяет реализовывать полиморфизм и избегать дублирование кода",1
"Использование в одной модели общих признаков, а в моделях дочерних, наследуемых от этой модели, более подробных признаков. Используется для уменьшения дублирования кода, и упрощения понимания кода","Наследование — это механизм объектно-ориентированного программирования, который позволяет классу-потомку получить атрибуты (поля, методы и свойства) класса-родителя. В классе-потомке можно переопределять методы родителя. Механизм наследования позволяет реализовывать полиморфизм и избегать дублирование кода",1
"Механизм, который позволяет описать новый класс благодаря уже существующему","Наследование — это механизм объектно-ориентированного программирования, который позволяет классу-потомку получить атрибуты (поля, методы и свойства) класса-родителя. В классе-потомке можно переопределять методы родителя. Механизм наследования позволяет реализовывать полиморфизм и избегать дублирование кода",1
"Это создание объекта, который обладает определенным количеством свойств того объекта, от которого происходит наследование.","Наследование — это механизм объектно-ориентированного программирования, который позволяет классу-потомку получить атрибуты (поля, методы и свойства) класса-родителя. В классе-потомке можно переопределять методы родителя. Механизм наследования позволяет реализовывать полиморфизм и избегать дублирование кода",1
"Наследование - это механизм ООП, при котором один класс наследует поля и функции другого класса, при этом может создавать свои функции и поля и переписывать функции класса-родителя.","Наследование — это механизм объектно-ориентированного программирования, который позволяет классу-потомку получить атрибуты (поля, методы и свойства) класса-родителя. В классе-потомке можно переопределять методы родителя. Механизм наследования позволяет реализовывать полиморфизм и избегать дублирование кода",1
"Наследование это принцип объектно-ориентированного программирования. Он заключается в создании иерархии классов. Производные классы могут задействовать методы, функции и переменные базового класса (класса, от которого они были унаследованы). Классы-наследники, по сути, являются вариантами базового класса, принцип наследования позволяет не дублировать код каждый раз для создания нового варианта, а добавлять только то, чем класс-наследник отличается от базового.","Наследование — это механизм объектно-ориентированного программирования, который позволяет классу-потомку получить атрибуты (поля, методы и свойства) класса-родителя. В классе-потомке можно переопределять методы родителя. Механизм наследования позволяет реализовывать полиморфизм и избегать дублирование кода",1
"Наследование - это один из принципов ООП. Наследование позволяет дочерним классам использовать методы родительского класса. Так же есть такие принципы как полиморфизм, инкапсуляция, интерфейс и абстракция.","Наследование — это механизм объектно-ориентированного программирования, который позволяет классу-потомку получить атрибуты (поля, методы и свойства) класса-родителя. В классе-потомке можно переопределять методы родителя. Механизм наследования позволяет реализовывать полиморфизм и избегать дублирование кода",1
"это технология, подражающая поведению мозга человека","Искусственная нейронная сеть — это программа, моделирующая биологическую нейронную сеть. Она основана на математической модели нейрона. Нейроны объединяются в сеть на основе выбранной архитектуры. Такая сеть может обучаться и решать задачи по классификации и генерации данных.",1
"Это математическая модель, в виде человеческой модели нейронных связей. Программы основанные на искусственной нейронной сети, после обучения на определенном количестве данных, могут представлять ограниченный функционал, под который была ""заточена"" нейросеть.","Искусственная нейронная сеть — это программа, моделирующая биологическую нейронную сеть. Она основана на математической модели нейрона. Нейроны объединяются в сеть на основе выбранной архитектуры. Такая сеть может обучаться и решать задачи по классификации и генерации данных.",1
"Это математическая модель биологической нейронной сети, которая также как и биологическая, имеет способность самообучаться","Искусственная нейронная сеть — это программа, моделирующая биологическую нейронную сеть. Она основана на математической модели нейрона. Нейроны объединяются в сеть на основе выбранной архитектуры. Такая сеть может обучаться и решать задачи по классификации и генерации данных.",1
"Это математическая модель, которую применяет машина для обработки информации. По своей сути напоминает биологические нейронные сети. С каждым годом применяется во всё больших частях жизни человека и помогает улучшать и упрощать жизнь.","Искусственная нейронная сеть — это программа, моделирующая биологическую нейронную сеть. Она основана на математической модели нейрона. Нейроны объединяются в сеть на основе выбранной архитектуры. Такая сеть может обучаться и решать задачи по классификации и генерации данных.",1
"это математическая модель, упрощенного человеческого нейронная, например Перцептрон.","Искусственная нейронная сеть — это программа, моделирующая биологическую нейронную сеть. Она основана на математической модели нейрона. Нейроны объединяются в сеть на основе выбранной архитектуры. Такая сеть может обучаться и решать задачи по классификации и генерации данных.",1
"Искусственная нейронная сеть - это набор нейронов, которые делятся на слои: входной, скрытые и выходной.","Искусственная нейронная сеть — это программа, моделирующая биологическую нейронную сеть. Она основана на математической модели нейрона. Нейроны объединяются в сеть на основе выбранной архитектуры. Такая сеть может обучаться и решать задачи по классификации и генерации данных.",1
"Искусственная нейронная сеть является моделью биологической сети нейронов. Она характеризуется наличием простых  взаимосвязанных элементов (нейронов), генерирующих и передающих друг другу импульс (чаще всего просто число). Сложная динамика пульсации нейронов порождаёт сложное поведение сети.","Искусственная нейронная сеть — это программа, моделирующая биологическую нейронную сеть. Она основана на математической модели нейрона. Нейроны объединяются в сеть на основе выбранной архитектуры. Такая сеть может обучаться и решать задачи по классификации и генерации данных.",1
"Искусственная нейронная сеть - это программа, которая с помощью анализа большого объема данных способна спрогнозировать возможный ответ на поставленную задачу. Также для того, чтобы работать с нейронными сетями её нужно сначала обучить на большом объёме различных данных: как правильных, так и нет.","Искусственная нейронная сеть — это программа, моделирующая биологическую нейронную сеть. Она основана на математической модели нейрона. Нейроны объединяются в сеть на основе выбранной архитектуры. Такая сеть может обучаться и решать задачи по классификации и генерации данных.",1
"Искусственная нейронная сеть - математическая модель, состоящая из моделей нейронов и связей между ними в виде весов. Каждый нейрон имеет функцию для передачи сигнала, что называется пороговой функцией. Пороговые функции и набор весов в совокупности определяют результат вычисления.","Искусственная нейронная сеть — это программа, моделирующая биологическую нейронную сеть. Она основана на математической модели нейрона. Нейроны объединяются в сеть на основе выбранной архитектуры. Такая сеть может обучаться и решать задачи по классификации и генерации данных.",1
"Искусственная нейронная сеть это модель биологической нейронной сети. Она может быть использована как для исследования свойств биологических нейронов и процессов происходящих в мозге. В таком случае от сети необходима биологическая точность и схожесть с функционированием биологического нейрона. Тут моделируется поведение.
Также искусственные нейронные сети могут быть использованы для более прикладных задач, где от неё требуется решение каки=либо задач, которые решает наш мозг. В этом случае моделируется уже не поведение, а способность нейронов к построению сложных функций.","Искусственная нейронная сеть — это программа, моделирующая биологическую нейронную сеть. Она основана на математической модели нейрона. Нейроны объединяются в сеть на основе выбранной архитектуры. Такая сеть может обучаться и решать задачи по классификации и генерации данных.",1
"Искусственная нейронная сеть (ИНС) - представление нейронной сети мозга в программе для автоматизации сложных и долгих процессов, разработки ПО. ИНС - представляет из себя набор связанных последовательно нейронов в виде графа. Каждая ветвь графа содержит веса для определения, насколько предыдущий нейрон должен влиять на последующий. Каждый нейрон представляет из себя функцию функцию-сумматор, который складывает полученное значение от предыдущего нейрона, умноженного на его вес.","Искусственная нейронная сеть — это программа, моделирующая биологическую нейронную сеть. Она основана на математической модели нейрона. Нейроны объединяются в сеть на основе выбранной архитектуры. Такая сеть может обучаться и решать задачи по классификации и генерации данных.",1
"Программы, использующие мощности вычислительных систем для выполнения математических вычислений, моделирующие поведение естественной нейронной сети","Искусственная нейронная сеть — это программа, моделирующая биологическую нейронную сеть. Она основана на математической модели нейрона. Нейроны объединяются в сеть на основе выбранной архитектуры. Такая сеть может обучаться и решать задачи по классификации и генерации данных.",1
"Искусственная нейронная сеть - это некоторый набор алгоритмов, которые уточняются по мере обучения на больших объемах данных. После ее обучения можно делать прогнозы на каких-либо наборах данных, алгоритмы могут быть изменены или использованы с другими параметрами.","Искусственная нейронная сеть — это программа, моделирующая биологическую нейронную сеть. Она основана на математической модели нейрона. Нейроны объединяются в сеть на основе выбранной архитектуры. Такая сеть может обучаться и решать задачи по классификации и генерации данных.",1
"Искусственная нейронная сеть - обучаемая программа, основанная на нейронах и связях между ними.","Искусственная нейронная сеть — это программа, моделирующая биологическую нейронную сеть. Она основана на математической модели нейрона. Нейроны объединяются в сеть на основе выбранной архитектуры. Такая сеть может обучаться и решать задачи по классификации и генерации данных.",1
"Искусственная нейронная сеть - сеть, построенная путем обучения модели в определенных условиях, которые приводят к постепенному улучшению результата путем создания новых нейронов.","Искусственная нейронная сеть — это программа, моделирующая биологическую нейронную сеть. Она основана на математической модели нейрона. Нейроны объединяются в сеть на основе выбранной архитектуры. Такая сеть может обучаться и решать задачи по классификации и генерации данных.",1
"Искусственная нейронная сеть - это нейронная сеть, которая создана руками человека, а не бога. Симулирует биологическую связь нейронов в компьютерном виде.","Искусственная нейронная сеть — это программа, моделирующая биологическую нейронную сеть. Она основана на математической модели нейрона. Нейроны объединяются в сеть на основе выбранной архитектуры. Такая сеть может обучаться и решать задачи по классификации и генерации данных.",1
"Искусственная нейронная сеть - это сеть состоящая из нейронов (например, персептрон) между которыми есть связь и некоторые весы на них.","Искусственная нейронная сеть — это программа, моделирующая биологическую нейронную сеть. Она основана на математической модели нейрона. Нейроны объединяются в сеть на основе выбранной архитектуры. Такая сеть может обучаться и решать задачи по классификации и генерации данных.",1
